Treatment,Ring,Tree ,Position,leafw,epiupper ,epilower,mesolay,meso,length par1,length par2,length par3,stomdenad,stomdenab,stomlengthad,stomlengthab,spi ad,spi ab
aCO2,R3,301,upper,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,27.40446667,21.80055556,188.8888889,156.9444444,31.44,33.19,5.938666667,5.20898611
eCO2,R4,403,lower,242.9263333,20.07655556,15.14055556,7.666666667,215.0915556,25.012,24.62792157,20.06844444,221.875,218.75,29.23,28.91,6.48540625,6.3240625
eCO2,R4,403,upper,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,28.78562963,22.628,191.6666667,175,34.03,34.93,6.522416668,6.11275
eCO2,R4,408,lower,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,27.22977778,16.77644444,300,184.375,24.78,27.7,7.434,5.1071875
eCO2,R4,408,upper,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,34.90818519,27.634,200,165.625,35.32,36.9,7.064,6.1115625
eCO2,R4,422,lower,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,31.59648889,27.35977778,150,143.75,33.01,33.64,4.9515,4.83575
eCO2,R5,501,lower,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,34.05277083,26.967,151.5625,142.1875,35.15,36.47,5.327421875,5.185578125
eCO2,R5,501,upper,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,33.49945,23.53988889,167.1875,160.9375,37.65,37.24,6.294609375,5.9933125
eCO2,R5,513,lower,351.165,23.277,17.98933333,8,296.9282222,32.97011111,33.51994444,27.69166667,162.5,110.9375,37.88,39.68,6.1555,4.402
eCO2,R5,513,upper,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,30.7445,26.17844444,211.1111111,189.0625,31.63,33.05,6.677444444,6.248515625
eCO2,R5,523,lower,320.7708889,21.553,18.96744444,7,269.4577778,34.90355556,34.07091111,24.89233333,198.6111111,145.3125,32.85,34.31,6.524375,4.985671875
eCO2,R5,523,upper,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,33.0697037,26.57455556,184.375,153.125,32.59,35.92,6.00878125,5.50025
aCO2,R6,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,34.55382222,23.97155556,125,145.3125,34.4,36.44,4.3,5.2951875
aCO2,R6,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,32.35685185,26.56477778,181.25,196.875,32.96,32.22,5.974,6.3433125
aCO2,R6,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,25.6826,20.35666667,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223
aCO2,R6,6_out2,upper,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,32.23025926,27.93811111,190.625,134.375,35.06,38.77,6.6833125,5.20971875
