"","co2grow","canopy","leafw","epi_up","epi_low","mesolay.mean","meso.mean","stomdenad","stomdenab","stomlengthad","stomlengthab","spi.ad","spi.ab","sumlength.par","meanlength.par","gmes","Mean_gm.Eglob","Mean_gs","Mean_Ci","Mean_Cc","Drawdown","Photo","gs","Ci","Tleaf","LMA","N.perc","Vcmax","Jmax","Rd","Vcmax25","Jmax25","Rd25","Openness","Stomratio","Nm","Na","se-leafw","se-epi_up","se-epi_low","se-mesolay.mean","se-meso.mean","se-stomdenad","se-stomdenab","se-stomlengthad","se-stomlengthab","se-spi.ad","se-spi.ab","se-sumlength.par","se-meanlength.par","se-gmes","se-Mean_gm.Eglob","se-Mean_gs","se-Mean_Ci","se-Mean_Cc","se-Drawdown","se-Photo","se-gs","se-Ci","se-Tleaf","se-LMA","se-N.perc","se-Vcmax","se-Jmax","se-Rd","se-Vcmax25","se-Jmax25","se-Rd25","se-Openness","se-Stomratio","se-Nm","se-Na"
"1","amb","lower",296.884545366667,22.0843819466667,19.4727847233333,7.3703703705,251.75512865,187.673611116667,151.47569445,32.0758333333333,33.9125,5.79367476833333,5.07559780116667,88.1978836116667,29.39929454,0.215083333333333,0.126166666666667,0.139459523666667,235.666666666667,167.583333333333,68,11.875,0.138333333333333,235.666666666667,25.5291666666667,170.525044866667,1.63083333333333,74.4332222222222,114.730611111111,2.25161111111111,68.0947222222222,109.812111111111,2.33594444444444,40.9033333333333,0.852723554,16.3083333333333,2.7732316462325,16.2077421946047,0.661811979384202,1.97878222135187,0.216555843766238,10.6558610338985,34.2864729545112,15.7643127199306,2.66874046966813,1.39959145824773,0.556198593497626,0.333602527737289,4.02684983624834,1.34228328145003,0.0432156253891782,0.0202840933848285,0.0242673510159734,22.2136094420615,11.5473060831424,11.8567842745549,0.722570642451888,0.0248886408717801,22.2136094420615,0.172568424432486,8.00781259521878,0.0661490320748871,9.10029395248335,5.31448793248869,0.258825200797568,8.59986774894723,5.02264428321168,0.259562672324426,4.87712140452177,0.0723495531642265,0.661490320748871,0.0267277424132111
"2","amb","upper",323.526311727778,22.2508888888889,18.9675987655556,7.77777777777778,281.566083327778,187.818287044444,161.603009244444,32.905,34.4538888888889,6.08185503511111,5.47986313611111,91.0612011366667,30.3537337105556,0.1365,0.124611111111111,0.1691679895,239.944444444444,150.666666666667,89.2777777777778,14.0922222222222,0.170555555555556,239.944444444444,25.8361111111111,190.369199072222,1.71222222222222,82.6326666666667,120.189388888889,1.63216666666667,73.9946666666667,113.534944444444,1.67305555555556,75.0083333333333,0.869603064833333,17.1222222222222,3.24418212615944,12.4222872348782,0.550328038965944,0.823162647661177,0.222222222222222,7.59044044423826,14.1131643761643,9.22215694277245,1.01799230514446,1.13236982463905,0.259351358073525,0.242929605273814,1.55941504475409,0.519805016702655,0.0223065760109734,0.00701079414673554,0.0156163163758634,11.3285665356693,14.3346252647735,9.29970794709353,0.906900160565962,0.0159957556098755,11.3285665356693,0.417324295843454,11.0227656696618,0.0756535312468854,3.61893094634927,6.44083989399856,0.152094908235322,5.87998827474266,5.70506985571973,0.181401343795641,2.93858289732388,0.055305006966804,0.756535312468853,0.168569997933497
"3","elev","lower",305.039833333333,20.1156759266667,16.976,7.35416666666667,262.480879633333,205.715136966667,153.712533766667,30.0875,31.9291666666667,5.92325940133333,4.79759253283333,89.292513045,29.764171015,0.211,0.1455,0.189579365166667,357.333333333333,244,113.333333333333,18.8,0.19,357.218333333333,26.3133333333333,163.815583716667,1.63916666666667,82.4845,122.843666666667,1.68483333333333,71.8826666666667,113.6055,1.65666666666667,41.52,0.777155978833333,16.3916666666667,2.6852299443725,21.1540752065591,1.0136622468033,0.797859988479961,0.193574442527335,17.2457649090071,24.5164210296905,13.7021190799504,3.41906511344841,3.24644110698333,0.137456523267969,0.0993077241861555,3.67744238405417,1.22581412801806,0.0350749198145912,0.0192635233883455,0.00481742087865319,12.180357593729,35.7992085573597,26.2620342784874,0.397837906690652,0.005,12.0243573401843,0.666972846357164,2.12368282307381,0.0804458064648356,10.1302073317052,13.2772530082259,0.131230183689238,5.02700392325732,8.9320929938061,0.148263654046132,1.1524186522267,0.0223780780754114,0.804458064648355,0.150086885060321
"4","elev","upper",327.319799016667,23.1963154316667,17.5464232272222,7.91666666666667,281.81440985,197.116126538889,165.856481477778,32.9005555555556,34.3069444444444,6.4610195795,5.66215567122222,90.0734934694444,30.0244978238889,0.246166666666667,0.151222222222222,0.142391534277778,331.388888888889,240.5,90.7222222222222,16.7516666666667,0.142777777777778,331.388888888889,25.24,202.906874977778,1.56666666666667,76.1056111111111,117.162777777778,1.59361111111111,74.0704444444444,116.093333333333,1.68116666666667,81.85888889,0.860147222611111,15.6666666666667,3.17054566273667,8.67573533752702,0.489909832631604,1.35864597995288,0.0833333333333333,5.92448612320824,5.92359928125532,3.2422904730082,1.43038855551668,1.36026535514941,0.16712001215001,0.355565754296412,0.53414122351866,0.178047073904024,0.0203844984676537,0.00712152015953869,0.0157401917703224,16.079182922549,35.857356288494,20.8891105189188,1.15364037338813,0.0153458081299257,16.079182922549,0.118145390656316,11.5799796757864,0.0536449231314369,3.47377724868144,4.73138874896443,0.15207029117086,3.34851736308238,5.18548182696438,0.154573157796272,3.54143585254608,0.0244086286637891,0.536449231314369,0.160275810266501
