,C.treat,Position,Age,Photo,gs,Ci,Tleaf,Vcmax,Jmax,LMA,LeafN,GapFr,Openness,log.Open,se-Photo,se-gs,se-Ci,se-Tleaf,se-Vcmax,se-Jmax,se-LMA,se-LeafN,se-GapFr,se-Openness,se-log.Open
1,Amb,lower,new,18.23166667,0.27495,267.8,27.51783333,95.93447549,128.9742499,154.4941362,16.47294164,34.215,37.37416667,1.553570816,0.618872182,0.011269662,4.225057528,0.246470305,3.955117625,3.928987559,6.671388672,1.960582735,8.915,9.164166667,0.113219999
2,Amb,lower,old,15.42083333,0.286125,283.6666667,23.79083333,63.97433749,111.9156651,162.5843938,15.9638729,31.67583333,34.80208333,1.525947666,1.382998202,0.03278311,4.942868038,0.448311028,4.005714963,6.809877284,5.883845812,0.881932605,3.078330085,3.120744664,0.039792537
3,Amb,upper,new,19.525,0.271847222,253.9513889,27.38590278,112.5471457,162.1341078,159.5401113,17.03696859,75.8875,78.7175,1.895803694,0.629325771,0.032197944,10.81372379,0.304403607,5.204551028,5.398754474,9.501238772,0.76182236,3.0725,2.7625,0.015247326
4,Amb,upper,old,18.88888889,0.314333333,273.4166667,23.4475,77.62782365,131.8131387,186.9010878,17.27118247,75.77166667,78.59333333,1.894577409,0.719653552,0.042522151,10.09700634,0.256980238,1.941799766,4.25445735,7.591098233,0.80386579,2.207192284,2.090113102,0.011962839
5,Elev,lower,new,18.56888889,0.202027778,352.0138889,27.64152778,84.17112778,121.9878034,162.4767393,16.55949973,35.78444445,39.24027778,1.591628584,1.141404404,0.025994779,22.20998708,0.316507593,6.017463288,8.800886044,11.18689766,1.170318486,0.931814406,1.158007782,0.013815678
6,Elev,lower,old,18.64166667,0.165666667,336.1666667,23.47583333,65.73857537,114.7584272,146.1913318,17.01619658,33.719375,36.42916667,1.548699377,1.382218426,0.02492745,11.05284026,0.384968433,2.325159874,4.937302603,3.165417922,0.68242715,2.708490003,2.529486333,0.033147155
7,Elev,upper,new,23.21666667,0.248916667,351.9722222,27.4025,105.3999501,160.1606962,180.9694853,14.93278505,76.548,79.45866667,1.899910229,1.166015691,0.023803507,12.66209104,0.296472393,6.758524582,3.528149311,10.62703432,0.504347185,1.984645392,1.822218916,0.010045661
8,Elev,upper,old,22.73333333,0.25,365.8611111,23.50583333,75.59283162,135.2616128,193.8944991,17.14214588,78.84638889,81.62986111,1.911389317,0.914988363,0.034850581,15.98572376,0.359218223,1.630274656,5.423157284,4.470794348,0.406833214,1.859364508,1.679146449,0.008745921
