"","Conc","Tree","Position","leafw","epi_up","epi_low","meso.mean","sum.mean","Tree.y","Position.y","leafw.mean.y","epiupper.mean","epilower.mean","mesolay.mean","meso.mean.y","length.par1.mean","sumlength.par.mean","meanlength.par.mean","Date","Ring","Tree","CO2grow","Canopy","CO2meas","N.Rows","gmes","Mean_gm.Eglob","Mean_gs","Mean_Ci","Mean_Cc","Drawdown"
"22","3_outupper","3_out","upper",397.333333333333,25.9811111133333,23.19311111,346.266666666667,395.466666666667,"3_out","upper",397.3445556,25.98111111,23.19311111,9,346.291,34.03866667,100.31401627,33.4380054233333,"29/10/2014","R3","3_out","amb","upper","elev",6,0.439,0.225,0.096333333,266,230,36
"23","301lower","301","lower",303.5,21.3395555566667,20.92277778,256.566666666667,298.866666666667,"301","lower",303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.2828827133333,"27/10/2014","R3","301","amb","lower","amb",5,0.403,0.19,0.1384,237,205,33
"24","301lower","301","lower",303.5,21.3395555566667,20.92277778,256.566666666667,298.866666666667,"301","lower",303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.2828827133333,"27/10/2014","R3","301","amb","lower","elev",6,0.323,0.198,0.086666667,257,212,45
"25","301upper","301","upper",277.525,20.5513777775,16.5654277775,236.6,273.7,"301","upper",273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.9979703733333,"27/10/2014","R3","301","amb","upper","amb",6,0.187,0.145,0.188333333,240,150,90
"26","301upper","301","upper",277.525,20.5513777775,16.5654277775,236.6,273.7,"301","upper",273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.9979703733333,"27/10/2014","R3","301","amb","upper","elev",6,0.425,0.267,0.166,321,271,50
"27","3Nlower","3N","lower",383.433333333333,25.79266667,24.38266667,332.066666666667,382.266666666667,"3N","lower",383.4584444,25.79266667,24.38266667,8,332.0645556,44.08533333,113.08396162,37.6946538733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3Nupper","3N","upper",402.066666666667,25.1934444466667,24.91711111,343.566666666667,393.7,"3N","upper",402.0674444,25.19344444,24.91711111,7.666666667,343.5735556,41.96,114.21637556,38.0721251866667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","403lower","403","lower",242.933333333333,20.0765555566667,15.1405555533333,215.066666666667,250.3,"403","lower",242.9263333,20.07655556,15.14055556,7.666666667,215.0915556,25.012,69.70836601,23.2361220033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","403upper","403","upper",299.633333333333,22.33688889,18.84088889,254.5,295.666666666667,"403","upper",299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,78.42674074,26.1422469133333,"29/11/2014","R4","403","elev","upper","amb",6,0.137,0.104,0.13,233,144,89
"31","403upper","403","upper",299.633333333333,22.33688889,18.84088889,254.5,295.666666666667,"403","upper",299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,78.42674074,26.1422469133333,"29/11/2014","R4","403","elev","upper","elev",6,0.453,0.241,0.131333333,313,275,38
"32","408lower","408","lower",236.7,15.7945555566667,13.08688889,207.4,236.266666666667,"408","lower",236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,71.53122222,23.84374074,"23/10/2014","R4","408","elev","lower","amb",6,0.245,0.101,0.089,227,194,34
"33","408lower","408","lower",236.7,15.7945555566667,13.08688889,207.4,236.266666666667,"408","lower",236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,71.53122222,23.84374074,"29/11/2014","R4","408","elev","lower","amb",5,0.12,0.093,0.1546,256,156,100
"34","408lower","408","lower",236.7,15.7945555566667,13.08688889,207.4,236.266666666667,"408","lower",236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,71.53122222,23.84374074,"29/11/2014","R4","408","elev","lower","elev",6,0.245,0.168,0.154,350,281,69
"35","408upper","408","upper",347.166666666667,22.3464444433333,13.7125555566667,307.233333333333,343.266666666667,"408","upper",347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,100.1552963,33.3850987666667,"23/10/2014","R4","408","elev","upper","amb",7,0.252,0.149,0.104571429,196,148,48
"36","408upper","408","upper",347.166666666667,22.3464444433333,13.7125555566667,307.233333333333,343.266666666667,"408","upper",347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,100.1552963,33.3850987666667,"23/10/2014","R4","408","elev","upper","elev",7,0.085,0.077,0.134714286,293,66,227
"37","422lower","422","lower",329.575,22.4114444425,19.74638889,277.725,319.875,"422","lower",325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,92.34593334,30.78197778,"23/10/2014","R4","422","elev","lower","amb",7,0.065,0.059,0.207,256,26,230
"38","422lower","422","lower",329.575,22.4114444425,19.74638889,277.725,319.875,"422","lower",325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,92.34593334,30.78197778,"23/10/2014","R4","422","elev","lower","elev",7,0.091,0.082,0.220714286,360,120,240
"39","501lower","501","lower",343.3,21.00277778,19.0931111133333,296.1,336.166666666667,"501","lower",343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,91.55254861,30.5175162033333,"27/10/2014","R5","501","elev","lower","amb",7,0.171,0.121,0.157714286,263,190,73
"40","501lower","501","lower",343.3,21.00277778,19.0931111133333,296.1,336.166666666667,"501","lower",343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,91.55254861,30.5175162033333,"27/10/2014","R5","501","elev","lower","elev",9,0.291,0.188,0.175333333,365,305,60
"41","501upper","501","upper",375.633333333333,25.699,21.62166667,319.866666666667,367.2,"501","upper",375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,87.86889445,29.2896314833333,"27/10/2014","R5","501","elev","upper","amb",6,0.343,0.16,0.167333333,249,210,39
"42","501upper","501","upper",375.633333333333,25.699,21.62166667,319.866666666667,367.2,"501","upper",375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,87.86889445,29.2896314833333,"27/10/2014","R5","501","elev","upper","elev",6,0.209,0.153,0.148333333,333,248,84
